ID,Start time,Completion time,Email,Name,Last modified time,"What is your gender identity?
","Which races or ethnicities best describe you?
","Which of these other identities also describe you?
",What is your major/grad program?,"What year are you?
",UCSD Basic Needs Hub,Triton Food Pantry (TFP),Food Recovery Network (FRN),UCSD Calfresh Team,Triton Food Pantry (TFP)2,Food Recovery Network (FRN)2,UCSD Calfresh Team2,"Have you applied for Calfresh benefits? (Calfresh may also be known as EBT or Food Stamps)
",Were you approved for Calfresh benefits?,"Did you get assistance from the UCSD Calfresh Team when applying?
",Is there any other feedback on Basic Needs services you would like to share?
92,2/17/24 9:29:51,2/17/24 9:31:13,anonymous,,,Woman,White;,,Data Science,2nd year,I've never heard of this service.,I have heard of this service and used it.,I've never heard of this service.,"I have heard of this service, but never used it.",I was not food insecure when I used this service.,I've never used this service.,I was not food insecure when I used this service.,No,,,
93,2/17/24 17:31:14,2/17/24 17:32:07,anonymous,,,Man,Hispanic or Latino;,LGBTQIA+;First Generation Student;,Cognitive Science,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
94,2/17/24 17:54:19,2/17/24 17:54:48,anonymous,,,Woman,Asian;,International Student;,Biological Sciences,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
95,2/17/24 20:22:22,2/17/24 20:22:55,anonymous,,,Man,Asian;,Transfer Student;,Computer Science and Engineering,5+ year,I've never heard of this service.,"I have heard of this service, but never used it.",I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
96,2/17/24 20:24:02,2/17/24 20:24:31,anonymous,,,Man,Asian;,Transfer Student;,Biological Sciences,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
97,2/17/24 21:39:52,2/17/24 21:40:55,anonymous,,,Woman,Asian;,First Generation Student;,Computer Science and Engineering,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,Yes,Yes,No,
98,2/17/24 23:22:09,2/17/24 23:22:22,anonymous,,,,,,,,,,,,,,,Yes,,,
99,2/18/24 0:47:43,2/18/24 0:49:46,anonymous,,,Man,Hispanic or Latino;White;,LGBTQIA+;,Mathematics,4th year,I have heard of this service and used it.,"I have heard of this service, but never used it.",I've never heard of this service.,I have heard of this service and used it.,I've never used this service.,I've never used this service.,I was not food insecure when I used this service.,Yes,Yes,"Yes, in an in-person meeting",
100,2/18/24 1:39:50,2/18/24 1:41:07,anonymous,,,Man,Hispanic or Latino;,LGBTQIA+;First Generation Student;,Mathematics,4th year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,Yes,Yes,No,
101,2/18/24 20:31:01,2/18/24 20:31:43,anonymous,,,Woman,Asian;Other;,,Bioengineering,4th year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
102,2/18/24 21:10:01,2/18/24 21:11:41,anonymous,,,Woman,Other;,,Mathematics,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
103,2/18/24 21:48:25,2/18/24 21:49:16,anonymous,,,Man,White;,,Mathematics,3rd year ,"I have heard of this service, but never used it.",I have heard of this service and used it.,I've never heard of this service.,"I have heard of this service, but never used it.",This service did not reduce my food insecurity.,I've never used this service.,I've never used this service.,Yes,No,No,
104,2/18/24 21:48:46,2/18/24 21:49:40,anonymous,,,Woman,Asian;,,Mathematics,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,Yes,No,No,
105,2/19/24 5:25:43,2/19/24 5:27:06,anonymous,,,Woman,Asian;,First Generation Student;,Public Health,4th year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
106,2/19/24 12:12:22,2/19/24 12:13:02,anonymous,,,Woman,Asian;,,Cognitive Science,4th year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I have heard of this service and used it.,I've never used this service.,I've never used this service.,This service greatly reduced my food insecurity.,Yes,Yes,"Yes, from the website",
107,2/19/24 13:19:09,2/19/24 13:21:03,anonymous,,,Non-binary,Asian;Hispanic or Latino;,LGBTQIA+;,Biological Sciences,3rd year ,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,This service somewhat reduced my food insecurity.,Yes,Yes,"Yes, from the website",
108,2/19/24 14:57:37,2/19/24 14:59:48,anonymous,,,Non-binary,White;,LGBTQIA+;,Sociology,2nd year,"I have heard of this service, but never used it.",I have heard of this service and used it.,I've never heard of this service.,"I have heard of this service, but never used it.",This service somewhat reduced my food insecurity.,I've never used this service.,I've never used this service.,No,,,
109,2/19/24 18:59:50,2/19/24 19:01:12,anonymous,,,Man,Asian;,Undocumented Student;,Mathematics,4th year,"I have heard of this service, but never used it.",I have heard of this service and used it.,I've never heard of this service.,"I have heard of this service, but never used it.",I was not food insecure when I used this service.,I've never used this service.,I've never used this service.,No,,,
110,2/19/24 20:26:27,2/19/24 20:27:16,anonymous,,,Woman,Asian;,International Student;,Mathematics,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
111,2/20/24 18:39:23,2/20/24 18:40:20,anonymous,,,Woman,Asian;,Transfer Student;,Cognitive Science,4th year,I have heard of this service and used it.,I have heard of this service and used it.,I've never heard of this service.,I have heard of this service and used it.,This service somewhat reduced my food insecurity.,I've never used this service.,This service greatly reduced my food insecurity.,Yes,Yes,"Yes, in an in-person meeting",
112,2/20/24 21:27:19,2/20/24 21:28:09,anonymous,,,Woman,Asian;,,Mathematics,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,Yes,Yes,No,
113,2/21/24 14:32:29,2/21/24 14:33:15,anonymous,,,Woman,Asian;White;,,Cognitive Science,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
114,2/21/24 15:41:43,2/21/24 15:42:14,anonymous,,,Woman,Asian;,,Mathematics,4th year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
115,2/24/24 0:40:14,2/24/24 0:41:22,anonymous,,,Woman,Hispanic or Latino;White;,LGBTQIA+;,Public Health,2nd year,I've never heard of this service.,"I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,Yes,Yes,No,
116,2/24/24 16:21:44,2/24/24 16:22:34,anonymous,,,Man,Hispanic or Latino;,First Generation Student;,Cognitive Science,2nd year,,,,,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
117,2/24/24 19:38:41,2/24/24 19:39:32,anonymous,,,Man,Asian;,,Computer Science and Engineering,3rd year ,I've never heard of this service.,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
